-7.673628628253936768e-02,-1.597484052181243896e-01,2.290702313184738159e-01,-9.734098911285400391e-01,4.602000117301940918e-01
-8.694877475500106812e-02,-4.278975129127502441e-01,1.930861622095108032e-01,-9.811818003654479980e-01,1.534000039100646973e+00
-1.049775183200836182e-01,-6.846359968185424805e-01,1.279923766851425171e-01,-9.917751550674438477e-01,2.454400062561035156e+00
-1.408068090677261353e-01,-1.021248698234558105e+00,-5.113491788506507874e-03,-9.999869465827941895e-01,3.835000038146972656e+00
-1.765219867229461670e-01,-1.272281885147094727e+00,-1.320486813783645630e-01,-9.912432432174682617e-01,4.448599815368652344e+00
-2.195969969034194946e-01,-1.517609834671020508e+00,-2.775408625602722168e-01,-9.607138037681579590e-01,5.215600013732910156e+00
-2.882317602634429932e-01,-1.831401348114013672e+00,-4.786017239093780518e-01,-8.780320882797241211e-01,5.522399902343750000e+00
-3.477380275726318359e-01,-2.059613227844238281e+00,-6.216672658920288086e-01,-7.832814455032348633e-01,5.675799846649169922e+00
-4.127213954925537109e-01,-2.190835237503051758e+00,-7.433572411537170410e-01,-6.688945889472961426e-01,5.368999958038330078e+00
-4.991566836833953857e-01,-2.105255603790283203e+00,-8.556251525878906250e-01,-5.175960063934326172e-01,4.141799926757812500e+00
-5.584347844123840332e-01,-1.871338367462158203e+00,-9.048680067062377930e-01,-4.256922304630279541e-01,3.068000078201293945e+00
-6.080138087272644043e-01,-1.540431022644042969e+00,-9.298347830772399902e-01,-3.679773211479187012e-01,1.687399983406066895e+00
-6.585627794265747070e-01,-1.101122856140136719e+00,-9.385854601860046387e-01,-3.450469076633453369e-01,0.000000000000000000e+00
-6.848642230033874512e-01,-7.645102143287658691e-01,-9.287014007568359375e-01,-3.708283901214599609e-01,-1.380599975585937500e+00
-7.011813521385192871e-01,-4.336028099060058594e-01,-9.022388458251953125e-01,-4.312366247177124023e-01,-2.607800006866455078e+00
